Month,Day,Hour,Beam,Diffuse
2,10,12,807,181
2,10,13,706,234
2,10,14,433,298
2,10,15,0,138
2,10,16,0,59
2,10,17,0,19
2,10,18,0,0
2,10,19,0,0
2,10,20,0,0
2,10,21,0,0
2,10,22,0,0
2,10,23,0,0
2,11,0,0,0
2,11,1,0,0
2,11,2,0,0
2,11,3,0,0
2,11,4,0,0
2,11,5,0,0
2,11,6,0,0
2,11,7,5,27
2,11,8,18,108
2,11,9,0,75
2,11,10,0,106
2,11,11,0,125
2,11,12,2,200
2,11,13,0,146
2,11,14,0,128
2,11,15,0,128
2,11,16,0,65
2,11,17,6,53
2,11,18,0,0
2,11,19,0,0
2,11,20,0,0
2,11,21,0,0
2,11,22,0,0
2,11,23,0,0
2,12,0,0,0
2,12,1,0,0
2,12,2,0,0
2,12,3,0,0
2,12,4,0,0
2,12,5,0,0
2,12,6,0,0
2,12,7,56,33
2,12,8,474,108
2,12,9,658,143
2,12,10,756,162
2,12,11,777,194
2,12,12,707,230
2,12,13,786,198
2,12,14,778,167
2,12,15,701,152
2,12,16,531,133
2,12,17,159,70
2,12,18,0,0
2,12,19,0,0
2,12,20,0,0
2,12,21,0,0
2,12,22,0,0
2,12,23,0,0
2,13,0,0,0
2,13,1,0,0
2,13,2,0,0
2,13,3,0,0
2,13,4,0,0
2,13,5,0,0
2,13,6,0,0
2,13,7,18,30
2,13,8,190,140
2,13,9,533,194
2,13,10,733,178
2,13,11,805,185
2,13,12,821,179
2,13,13,814,188
2,13,14,776,178
2,13,15,699,153
2,13,16,552,126
2,13,17,104,76
2,13,18,0,0
2,13,19,0,0
2,13,20,0,0
2,13,21,0,0
2,13,22,0,0
2,13,23,0,0
2,14,0,0,0
2,14,1,0,0
2,14,2,0,0
2,14,3,0,0
2,14,4,0,0
2,14,5,0,0
2,14,6,0,0
2,14,7,37,35
2,14,8,483,108
2,14,9,662,145
2,14,10,759,163
2,14,11,809,174
2,14,12,828,177
2,14,13,819,176
2,14,14,781,169
2,14,15,687,162
2,14,16,401,166
2,14,17,149,71
2,14,18,0,0
2,14,19,0,0
2,14,20,0,0
2,14,21,0,0
2,14,22,0,0
2,14,23,0,0
2,15,0,0,0
2,15,1,0,0
2,15,2,0,0
2,15,3,0,0
2,15,4,0,0
2,15,5,0,0
2,15,6,0,0
2,15,7,57,37
2,15,8,380,137
2,15,9,551,179
2,15,10,332,305
2,15,11,603,279
2,15,12,683,266
2,15,13,311,378
2,15,14,585,253
2,15,15,564,191
2,15,16,553,127
2,15,17,192,74
2,15,18,0,0
2,15,19,0,0
2,15,20,0,0
2,15,21,0,0
2,15,22,0,0
2,15,23,0,0
2,16,0,0,0
2,16,1,0,0
2,16,2,0,0
2,16,3,0,0
2,16,4,0,0
2,16,5,0,0
2,16,6,0,0
2,16,7,66,39
2,16,8,402,137
2,16,9,667,145
2,16,10,763,164
2,16,11,812,174
2,16,12,830,178
2,16,13,822,176
2,16,14,784,169
2,16,15,709,153
2,16,16,477,160
2,16,17,169,74
2,16,18,0,0
2,16,19,0,0
2,16,20,0,0
2,16,21,0,0
2,16,22,0,0
2,16,23,0,0
2,17,0,0,0
2,17,1,0,0
2,17,2,0,0
2,17,3,0,0
2,17,4,0,0
2,17,5,0,0
2,17,6,0,0
2,17,7,75,41
2,17,8,474,111
2,17,9,653,149
2,17,10,747,172
2,17,11,794,185
2,17,12,811,190
2,17,13,630,297
2,17,14,143,338
2,17,15,537,237
2,17,16,312,179
2,17,17,0,58
2,17,18,0,0
2,17,19,0,0
2,17,20,0,0
2,17,21,0,0
2,17,22,0,0
2,17,23,0,0
2,18,0,0,0
2,18,1,0,0
2,18,2,0,0
2,18,3,0,0
2,18,4,0,0
2,18,5,0,0
2,18,6,0,0
2,18,7,117,39
2,18,8,465,110
2,18,9,642,148
2,18,10,736,171
2,18,11,785,184
2,18,12,803,189
2,18,13,605,284
2,18,14,761,177
2,18,15,687,158
2,18,16,546,127
2,18,17,176,79
2,18,18,0,0
2,18,19,0,0
2,18,20,0,0
2,18,21,0,0
2,18,22,0,0
2,18,23,0,0
2,19,0,0,0
2,19,1,0,0
2,19,2,0,0
2,19,3,0,0
2,19,4,0,0
2,19,5,0,0
2,19,6,0,0
2,19,7,125,40
2,19,8,473,111
2,19,9,650,149
2,19,10,743,172
2,19,11,791,185
2,19,12,809,190
2,19,13,802,188
2,19,14,766,178
2,19,15,693,159
2,19,16,553,128
2,19,17,156,80
2,19,18,0,0
2,19,19,0,0
2,19,20,0,0
2,19,21,0,0
2,19,22,0,0
2,19,23,0,0
2,20,0,0,0
2,20,1,0,0
2,20,2,0,0
2,20,3,0,0
2,20,4,0,0
2,20,5,0,0
2,20,6,0,0
2,20,7,135,42
2,20,8,483,113
2,20,9,644,157
2,20,10,749,173
2,20,11,797,186
2,20,12,815,191
2,20,13,807,188
2,20,14,771,179
2,20,15,698,160
2,20,16,560,129
2,20,17,165,81
2,20,18,0,0
2,20,19,0,0
2,20,20,0,0
2,20,21,0,0
2,20,22,0,0
2,20,23,0,0
2,21,0,0,0
2,21,1,0,0
2,21,2,0,0
2,21,3,0,0
2,21,4,0,0
2,21,5,0,0
2,21,6,0,0
2,21,7,89,46
2,21,8,488,114
2,21,9,661,151
2,21,10,752,174
2,21,11,798,186
2,21,12,814,191
2,21,13,805,188
2,21,14,769,179
2,21,15,695,160
2,21,16,556,129
2,21,17,23,70
2,21,18,0,0
2,21,19,0,0
2,21,20,0,0
2,21,21,0,0
2,21,22,0,0
2,21,23,0,0
2,22,0,0,0
2,22,1,0,0
2,22,2,0,0
2,22,3,0,0
2,22,4,0,0
2,22,5,0,0
2,22,6,0,0
2,22,7,5,37
2,22,8,483,114
2,22,9,654,151
2,22,10,744,173
2,22,11,790,185
2,22,12,807,190
2,22,13,799,188
2,22,14,763,178
2,22,15,690,159
2,22,16,553,128
2,22,17,283,74
2,22,18,0,0
2,22,19,0,0
2,22,20,0,0
2,22,21,0,0
2,22,22,0,0
2,22,23,0,0
2,23,0,0,0
2,23,1,0,0
2,23,2,0,0
2,23,3,0,0
2,23,4,0,0
2,23,5,0,0
2,23,6,0,0
2,23,7,109,50
2,23,8,489,115
2,23,9,659,152
2,23,10,750,174
2,23,11,796,186
2,23,12,813,191
2,23,13,806,189
2,23,14,496,292
2,23,15,698,160
2,23,16,445,156
2,23,17,243,82
2,23,18,0,0
2,23,19,0,0
2,23,20,0,0
2,23,21,0,0
2,23,22,0,0
2,23,23,0,0
2,24,0,0,0
2,24,1,0,0
2,24,2,0,0
2,24,3,0,0
2,24,4,0,0
2,24,5,0,0
2,24,6,0,0
2,24,7,119,52
2,24,8,154,157
2,24,9,449,220
2,24,10,680,217
2,24,11,796,186
2,24,12,813,191
2,24,13,805,189
2,24,14,770,179
2,24,15,542,217
2,24,16,477,155
2,24,17,171,86
2,24,18,0,0
2,24,19,0,0
2,24,20,0,0
2,24,21,0,0
2,24,22,0,0
2,24,23,0,0
2,25,0,0,0
2,25,1,0,0
2,25,2,0,0
2,25,3,0,0
2,25,4,0,0
2,25,5,0,0
2,25,6,0,0
2,25,7,129,54
2,25,8,504,117
2,25,9,672,154
2,25,10,761,176
2,25,11,806,188
2,25,12,822,193
2,25,13,810,188
2,25,14,778,180
2,25,15,706,162
2,25,16,571,131
2,25,17,209,87
2,25,18,0,0
2,25,19,0,0
2,25,20,0,0
2,25,21,0,0
2,25,22,0,0
2,25,23,0,0
2,26,0,0,0
2,26,1,0,0
2,26,2,0,0
2,26,3,0,0
2,26,4,0,0
2,26,5,0,0
2,26,6,0,0
2,26,7,27,47
2,26,8,149,161
2,26,9,84,256
2,26,10,232,351
2,26,11,714,259
2,26,12,759,226
2,26,13,815,191
2,26,14,780,181
2,26,15,708,162
2,26,16,574,132
2,26,17,218,88
2,26,18,0,0
2,26,19,0,0
2,26,20,0,0
2,26,21,0,0
2,26,22,0,0
2,26,23,0,0
2,27,0,0,0
2,27,1,0,0
2,27,2,0,0
2,27,3,0,0
2,27,4,0,0
2,27,5,0,0
2,27,6,0,0
2,27,7,127,56
2,27,8,435,135
2,27,9,678,155
2,27,10,765,177
2,27,11,810,189
2,27,12,745,231
2,27,13,818,191
2,27,14,784,181
2,27,15,713,163
2,27,16,579,133
2,27,17,227,90
2,27,18,0,0
2,27,19,0,0
2,27,20,0,0
2,27,21,0,0
2,27,22,0,0
2,27,23,0,0
2,28,0,0,0
